IMPRESSIONS,AVG_APD,STD_APD,PUBLISHER
54334733,8134.266,21494.361630414,intouchweekly.com
30937704,16692.906,39203.96885235,cnn.com
28960046,18046.356,36380.509801802,people.com
27723806,28085.664,54933.567445998,dailymail.co.uk
27321623,9031.115,22840.717468394,lifeandstylemag.com
25550014,5227.348,14772.877014211,womansworld.com
22717479,19354.031,49047.761270755,nbcnews.com
20634278,23443.452,45836.744268185,littlethings.com
20598817,13075.557,33486.923891677,m.eonline.com
17820496,21888.319,44847.524357996,livestrong.com
17627425,15239.977,45015.213677056,foodnetwork.com
17566077,12529.786,34897.826815276,today.com
16871975,13923.396,38453.317226359,gamefaqs.com
12205594,7356.190,18576.699404792,totalprosports.com
11071506,17563.744,44716.83861935,cnbc.com
10747722,14058.761,46065.527128157,telemundo.com
9927517,25901.039,56227.199887723,thedailybeast.com
9763662,15682.327,40312.122173113,nypost.com
7846175,8139.422,18771.869796826,obsev.com
7823404,9201.058,31175.064720622,xxlmag.com
7795562,20239.289,41928.673440928,businessinsider.com
7754018,16639.880,40082.828027411,hotnewhiphop.com
7176297,9833.555,33860.078970803,metrolyrics.com
6982202,7263.790,27938.775702471,etonline.com
6774496,16210.669,36648.955159977,google.com
6370771,5595.423,13636.113830084,firstforwomen.com
6278908,20008.746,51780.856644314,food.com
6240811,13811.829,35582.866386001,womenshealthmag.com
6205375,14920.765,41747.529664125,countryliving.com
5826191,9580.088,28911.27143695,tvguide.com
5468222,24860.862,43569.607731812,cbsnews.com
5398081,14689.860,40167.69847828,chowhound.com
5055551,11271.533,25833.053502519,closerweekly.com
5015286,8629.590,28999.842172502,usatoday.com
4978938,16864.458,38149.894591912,complex.com
4960857,11443.697,26467.892713153,askmen.com
4911628,12948.526,30463.358240007,scarymommy.com
4879522,14799.907,35518.207374472,gamespot.com
4873371,10438.958,28652.229988449,nameberry.com
4767905,23884.285,47655.846027429,cbssports.com
4705837,16027.696,47480.774199343,hollywoodreporter.com
4412176,15184.791,38645.674824552,menshealth.com
4178302,9947.453,24192.46969406,knowyourmeme.com
4139371,5312.631,18465.056030974,fhm.com
4074043,9493.280,28460.022818895,j-14.com
3780457,13116.810,39697.312410968,thehill.com
3779313,20727.241,37307.95829029,cheezburger.com
3423157,6392.457,20615.312006589,cbs.com
3307149,12548.651,32470.875086976,msnbc.com
3233489,5745.971,19065.32132184,thespun.com
