APD,HOST,IMPRESSIONS
10312,03a.dev.billboard.com,1
2655,10.10.163.250:8080,2
2524,10.12.246.229:4000,1
99,10.16.184.14,1
1807,10.161.206.102:8080,1
7270,10.192.117.138:1235,2
45485.666666667,10.192.117.146:1235,6
4302.454545455,10.192.117.153:1235,11
20087.4,10.192.117.4:1235,5
70143.666666667,10.192.117.7:1235,6
2418,10.220.1.12:8080,1
2018,10.31.113.8:8080,1
140.928571429,10.98.26.167:4444,28
156208,10.98.27.19:4444,2
1401,10.98.27.66:4444,1
211653.5,100.114.94.189:8443,2
4829,100.122.86.144,1
53647.214285714,100.122.86.145,14
22721.69047619,100yearsold.littlethings.com,42
90541.666666667,10days.littlethings.com,3
98126.25,10dogs.littlethings.com,4
89658.8,10puppies.littlethings.com,5
11427.333333333,127.0.0.1,15
91877.705882353,127.0.0.1:4730,34
44947.666666667,127.0.0.1:8080,3
1730,128.199.211.216,1
7227.607843137,12guys.littlethings.com,51
115,12hours.littlethings.com,1
26857.000827521,12thmanrising.com,8459
17336.072351885,1428elm.com,5570
17172.538461538,16dogs.littlethings.com,13
32133.25,170.20.56.222:9555,12
0,172.17.16.150:7080,1
45666,172.21.65.30,12
822,179years.littlethings.com,1
4477,17months.littlethings.com,1
559.5,184.105.132.72:6910,2
66522,1890.littlethings.com,3
1335,1912.littlethings.com,1
111,192.168.1.95,1
19,192.168.223.1:1000,1
27180.634146341,1950s.littlethings.com,41
14055.769230769,1950shouse.littlethings.com,13
107,1973.littlethings.com,1
4233.75,20years.littlethings.com,4
2773,247nfl.co,66
5951.072902062,247sports.com,3353746
2714.333333333,247sportsdev.com,3
8275.8,247sportsdev2.com,5
3774.53125,247sportsdev4.com,32
1550.142857143,247sportsdev5.com,21
5515.136645963,247sportsdev6.com,161
1755,247sportsstage.com,4
73,26rescuedogs.littlethings.com,1
1241,2dogs.littlethings.com,1
17863.15,2doors.littlethings.com,40
1633.933333333,2dope.bz,15
10857.540152059,2dopeboyz.com,165857
938.259259259,2fhollywood.com,27
2804,2kgam.es,2
8320.08,2owls.littlethings.com,25
4825.5,2seconds.littlethings.com,2
6139.142857143,2soldiers.littlethings.com,7
21638,2yearold.littlethings.com,4
4079.666666667,30579.s.t4vps.eu,3
1074,30years.littlethings.com,2
23161,35years.littlethings.com,1
685.973684211,365zazhi.com,38
46970,3d818dd4.ngrok.io,2
1418,3singers.littlethings.com,1
2251,40.85.190.175,1
4457,40.87.60.203,1
300000,41years.littlethings.com,2
8650.75,52.0.200.70,4
70632.585365854,52.10.197.24,41
20916,52.4.128.216,3
14808.857142857,52.5.50.61,7
86,54.165.225.6,1
4100,54.243.167.162,1
26505,57years.littlethings.com,1
5187.142857143,5soldiers.littlethings.com,7
29819,5thgrade.littlethings.com,1
3111,64.147.104.30,10
8424.75,65.55.108.4,4
16358.2,65.55.252.15,10
9592,65.75.153.171,12
51472,6dogs.littlethings.com,2
7720.666666667,6pits.littlethings.com,6
13593.533333333,7.dev.golfchannel.com,30
22282.181818182,7.stage.golfchannel.com,11
179,71e4db4f.ngrok.io,1
16008.333333333,75years.littlethings.com,3
7617.38028169,76ers.247sports.com,71
15274,77years.littlethings.com,2
159,7b806082.ngrok.io,1
16872.026785714,7yearsold.littlethings.com,112
8883,800balls.littlethings.com,1
134856.5,80yearsold.littlethings.com,2
42221,856347918.keywordblocks.com,1
300000,8a1.dev.hollywoodreporter.com,1
17547.641287879,8points9seconds.com,10560
112,90min.com,1
935.8,92yearold.littlethings.com,5
46484.35,a.dailymail.co.uk,20
1244,a.fdlstatic.com,1
7750.56448203,a.kym-cdn.com,473
5740.522832561,a.msn.com,9066
3146,a.nursegrid.com,1
31562,a.rfihub.com,1
17410.5,a01.korrelate.net,2
413,a1.fdlstatic.com,1
777,a1009.casalemedia.com,2
143,a125375509.cdn.optimizely.com,1
1948,a487.casalemedia.com,1
6649.484848485,aamu.247sports.com,33
9430.428571429,aax-us-east.amazon-adsystem.com,7
5408.5,aax-us-pdx.amazon-adsystem.com,4
74,abandoned-church.littlethings.com,1
16939.642857143,abby.littlethings.com,14
6460.849112482,abc.soapsindepth.com,682409
104653,abuse.littlethings.com,2
1872.75,ac.littlethings.com,4
26957.167701863,acc.telemundo.com,161
12358.033866875,acceptthisrose.com,10246
595,accessory.littlethings.com,2
13495.303564434,acclaimmag.com,2553
1781.5,accounts.google.com,2
1628,acdn.adnxs.com,2
53456.25,acrobats.littlethings.com,4
26607,action.littlethings.com,6
7587,activate.nbcsports.com,1
4730.04,actor.hollywood.com,50
8,actress.in.hollywood.com,1
22975.909090909,acv.littlethings.com,44
1030,adfarm.mediaplex.com,1
3030.857142857,admin.draftexpress.com,21
10535.804347826,admin.elitedaily.com,46
73245.066666667,adops.blogher.com,15
1138,adops.prisabs.com,2
2863,adoption.littlethings.com,1
9628.884615385,adorable.littlethings.com,26
50231.570860927,ads.demo.kargo.com,755
4243.571428571,ads.pubmatic.com,7
119324.75,ads.spotible.com,8
14972,ads.staging.cracked.com,1
1280.166666667,adsale.hollywood.com,6
2269.5,adswer.dealsdekho.com,2
51970.197368421,adtag.dev.krg.io,76
118574.230769231,adtag.krg.io,13
50090.960515378,adtag.krg.local:8080,2406
5297.459459459,advice.littlethings.com,37
4179.5,aerosmith.littlethings.com,2
5965.465100671,aetv.us,1490
8928.164396321,affiliate.zap2it.com,17178
2468,age.littlethings.com,5
8860.8,agt.littlethings.com,40
18016.384615385,aiqin17.net,13
16844.128284389,airalamo.com,647
6923.711229947,airforce.247sports.com,187
9027.5,airmen.littlethings.com,2
5275.333333333,airplane.littlethings.com,3
7920,airport.littlethings.com,1
46752.714285714,airstream.littlethings.com,7
11062.75,aisle.littlethings.com,8
765.333333333,aisle6.littlethings.com,3
946.762195122,aka1-etonline.com,164
159207.5,akamai.smartadserver.com,4
85220,akhal.littlethings.com,1
8908.5625,akron.247sports.com,80
8979.288060839,alabama.247sports.com,453918
1459,alabama.247sportsdev6.com,1
3772.866666667,alabamastate.247sports.com,15
