ATTENTION,STD_ATTENTION,HOST,IMPRESSIONS,IAB
6608.733,19982.661792989,abc.soapsindepth.com,6175529,IAB1
17239.357,57146.935828056,ads.demo.kargo.com,40214,IAB1
11970.083,35865.681581632,amc.com,57465,IAB1
12543.408,38135.239558747,americatv.com.pe,2633412,IAB1
18703.093,50652.998907992,askmen.com,45435939,IAB1
850.150,963.794537752,bestproducts.com,6618,IAB1
9741.557,34406.964675629,billboard.com,20202584,IAB1
4380.640,5109.24967965,cbs.com,475,IAB1
9580.193,24451.077016933,cbs.soapsindepth.com,1284223,IAB1
5743.588,15237.605761142,closerweekly.com,38210070,IAB1
16999.615,50744.298468537,collider.com,18869991,IAB1
11267.462,37143.333210928,complex.com,31800620,IAB1
16095.879,48098.910248975,cosmopolitan.com,6202004,IAB1
17707.903,50296.276465609,countryliving.com,1078777,IAB1
23179.159,59815.268653547,cracked.com,27816915,IAB1
32486.267,61040.517628302,dailymail.co.uk,387753366,IAB1
15999.941,38145.762176564,dailystar.co.uk,20965,IAB1
16590.599,45968.702666619,deadline.com,11749380,IAB1
20493.332,52558.466164872,decider.com,1639566,IAB1
12824.692,37852.697933622,delish.com,2668074,IAB1
9800.145,36384.576353147,diffuser.fm,1482062,IAB1
17207.280,45385.715431455,elle.com,3106013,IAB1
16693.672,40387.371484252,empireonline.com,303308,IAB1
122793.095,118735.926442632,eonline.com,21,IAB1
13258.938,34672.249929346,es.j-14.com,4696,IAB1
0.000,0,espn.com,15,IAB1
8751.422,33821.362733737,etonline.com,83548584,IAB1
27875.996,55013.102520681,eurosport.co.uk,688578,IAB1
12808.425,35249.158042924,ew.com,27043005,IAB1
23084.715,53951.6922074,express.co.uk,436751,IAB1
13186.397,35753.303842596,extratv.com,5518835,IAB1
5868.433,26097.659167883,fanpop.com,52827,IAB1
2281.633,7939.730164181,fhm.com,141368763,IAB1
14792.894,41720.99183682,firstwefeast.com,858011,IAB1
2831.300,8395.994039124,flipboard.com,20,IAB1
12458.087,29937.325427666,foodandwine.com,10990381,IAB1
19519.482,53183.571023973,google.com,1435885,IAB1
13274.030,35204.768035751,greenlabel.com,39854,IAB1
13260.078,34587.447777091,health.com,6604572,IAB1
15643.055,33267.310028856,hellogiggles.com,14926098,IAB1
6891.734,27567.810531433,hollywood.com,2692785,IAB1
26433.265,49232.088634223,hollywoodlife.com,19910687,IAB1
15200.645,47248.382731888,hollywoodreporter.com,29048004,IAB1
1742.107,3452.640036841,hotnewhiphop.com,56,IAB1
32420.983,64216.278339686,independent.co.uk,9298897,IAB1
17601.653,46714.709761873,insideedition.com,5017506,IAB1
5952.616,16135.904842029,intouchweekly.com,282548572,IAB1
2668.328,10517.121588629,j-14.com,27335974,IAB1
111538.000,77319.320218171,jezebel.com,13,IAB1
3661.521,25839.610485377,justjared.com,422,IAB1
4624.000,6397.977649226,kargo.com,4,IAB1
12299.706,28799.787165759,last.fm,8593956,IAB1
