RELEVANCY,HOST,IAB
384684330,xxlmag.com,IAB1
50,independent.co.uk,IAB1
12,complex.com,IAB8
12,adweek.com,IAB1
219,flipboard.com,IAB1
797907972,today.com,IAB1
32612304,looper.com,IAB1
10971287,seventeen.com,IAB1
80,cracked.com,IAB1
576149641,etonline.com,IAB1
7801075,firstwefeast.com,IAB8
16062,people.com,IAB1
342620469,thedailybeast.com,IAB1
52646477,solecollector.com,IAB1
84199540,loudwire.com,IAB1
7512,eonline.com,IAB1
69156169,m-magazine.com,IAB1
7801075,firstwefeast.com,IAB1
623,uproxx.com,IAB1
1,rottentomatoes.com,IAB1
91565077,insideedition.com,IAB1
83,etonline.com,IAB1
35455499,hollywoodlife.com,IAB1
2145846,jezebel.com,IAB1
649829013,telemundo.com,IAB1
2443,tmz.com,IAB1
292129929,hollywoodreporter.com,IAB1
34137505,thisisinsider.com,IAB1
75269645,foodandwine.com,IAB1
15491,cbs.soapsindepth.com,IAB1
18,stereogum.com,IAB1
12,complex.com,IAB18
12032693,dailystar.co.uk,IAB1
3790823,empireonline.com,IAB1
277869673,billboard.com,IAB1
33305675,twistmagazine.com,IAB1
83180429,complex.com,IAB19
25164236,tvline.com,IAB1
887,dailymail.co.uk,IAB1
46,southernliving.com,IAB1
1931648,veranda.com,IAB1
25567,screenrant.com,IAB1
1602,wunderground.com,IAB1
21870620,rap-up.com,IAB1
24553,heatst.com,IAB1
470755938,askmen.com,IAB1
108043756,vh1.com,IAB1
83180429,complex.com,IAB1
2,iheart.com,IAB1
26497593,townandcountrymag.com,IAB1
4125779,univision.com,IAB1
40363,askmen.com,IAB1
333633,thedailybeast.com,IAB1
172,express.co.uk,IAB1
277,variety.com,IAB1
3,ign.com,IAB1
294843319,ew.com,IAB1
109146,es.j-14.com,IAB1
66259935,elle.com,IAB1
62506,telemundo.com,IAB1
20212297,countryliving.com,IAB1
27682354,abc.soapsindepth.com,IAB1
9004598,vibe.com,IAB1
156317,lennyletter.com,IAB1
4556,usatoday.com,IAB1
6065760,thedoctorstv.com,IAB1
1697263,vice.com,IAB12
1410178,ok.co.uk,IAB1
11223736,google.com,IAB2
63009051,okmagazine.com,IAB1
16,intouchweekly.com,IAB1
18552849,deadline.com,IAB1
1,standard.co.uk,IAB1
6797267,pigeonsandplanes.com,IAB1
5465,news.vice.com,IAB1
5018173,kcci.com,IAB1
89,xxlmag.com,IAB1
2989293,decider.com,IAB1
2035,espn.com,IAB1
57787443,pagesix.com,IAB1
18259717,last.fm,IAB1
204,dailystar.co.uk,IAB1
1497372066,lifeandstylemag.com,IAB1
549388,greenlabel.com,IAB1
1697263,vice.com,IAB1
695514,lifehacker.com,IAB1
3345,today.com,IAB1
12,complex.com,IAB1
136668759,tvguide.com,IAB1
366759447,closerweekly.com,IAB1
159107,ads.demo.kargo.com,IAB1
2427772,macworld.co.uk,IAB1
7859751,cbs.soapsindepth.com,IAB1
1189,tmz.com,IAB1
76559683,collider.com,IAB1
4936951,americatv.com.pe,IAB1
153519916,southernliving.com,IAB1
221,radaronline.com,IAB1
1003503,thefrisky.com,IAB1
83180429,complex.com,IAB18
126442104,radaronline.com,IAB1
186843,bestproducts.com,IAB1
202176539,womenshealthmag.com,IAB1
11223736,google.com,IAB1
31419011,delish.com,IAB1
9836880,mashable.com,IAB1
130,metacritic.com,IAB1
5,hiphopwired.com,IAB1
102435939,independent.co.uk,IAB1
4694576,express.co.uk,IAB1
2427069,standard.co.uk,IAB1
4303,google.com,IAB1
34352673,screencrush.com,IAB1
756,clipd.com,IAB1
160175473,cracked.com,IAB1
30201415,usmagazine.com,IAB1
2922792,theridechannel.com,IAB1
2092690,ranker.com,IAB1
12,complex.com,IAB17
13,ok.co.uk,IAB1
9,lifehacker.com,IAB1
3776,nickiswift.com,IAB1
120,realsimple.com,IAB1
24,nationalenquirer.com,IAB1
576149641,etonline.com,IAB18
1942736734,people.com,IAB1
9,perezhilton.com,IAB1
125343130,cosmopolitan.com,IAB1
714744546,obsev.com,IAB1
53557031,tv.com,IAB1
22455,hollywoodreporter.com,IAB1
157,slate.com,IAB1
680545332,j-14.com,IAB1
50467181,hellogiggles.com,IAB1
1689961,thedebrief.co.uk,IAB1
3,cc.com,IAB1
88791983,peopleenespanol.com,IAB1
1385260427,intouchweekly.com,IAB1
38409975,extratv.com,IAB1
25,ultimateclassicrock.com,IAB1
59,hollywood.com,IAB1
3,fanpop.com,IAB1
571,billboard.com,IAB1
334,ranker.com,IAB1
89416750,tasteofcountry.com,IAB1
10512624,diffuser.fm,IAB1
12,complex.com,IAB19
73882614,metacritic.com,IAB1
12349850,starmagazine.com,IAB1
4303,google.com,IAB2
11504609,hollywood.com,IAB1
412,peopleenespanol.com,IAB1
64,macworld.co.uk,IAB1
21705,abc.soapsindepth.com,IAB1
143740612,cbs.com,IAB1
1265255127,dailymail.co.uk,IAB1
154845064,health.com,IAB1
189834630,fhm.com,IAB1
8457177,rollingstone.com,IAB1
12346786,smithsonianmag.com,IAB1
95303680,ultimateclassicrock.com,IAB1
83180429,complex.com,IAB8
83,etonline.com,IAB18
639491113,hotnewhiphop.com,IAB1
196849209,justjared.com,IAB1
1482,theonion.com,IAB1
156,bossip.com,IAB1
40767801,popcrush.com,IAB1
5012224,eurosport.co.uk,IAB1
208264,broadly.vice.com,IAB1
4971477,stereogum.com,IAB1
610737,noisey.vice.com,IAB1
571,tvguide.com,IAB1
103,metro.co.uk,IAB1
6642009,spin.com,IAB1
440,kargo.com,IAB1
610,deadline.com,IAB1
40599686,variety.com,IAB1
106492104,realsimple.com,IAB1
83180429,complex.com,IAB17
192429734,usatoday.com,IAB1
230,tv.com,IAB1
12,realitytea.com,IAB1
73790522,mtv.com,IAB1
200900904,metrolyrics.com,IAB1
100362,ew.com,IAB1
