ATTENTION,STD_ATTENTION,HOST,IMPRESSIONS,IAB
10312,0,03a.dev.billboard.com,7,NULL
2643.052631579,232.897085923,10.10.163.250:8080,19,NULL
2524,0,10.12.246.229:4000,10,NULL
99,0,10.16.184.14,9,NULL
1807,0,10.161.206.102:8080,9,NULL
7762.6,5028.636023081,10.192.117.138:1235,20,NULL
42973.0625,94093.215630282,10.192.117.146:1235,64,NULL
4302.454545455,5051.911317178,10.192.117.153:1235,110,NULL
20958.725490196,26050.027874134,10.192.117.4:1235,51,NULL
69505.965517241,110082.647646876,10.192.117.7:1235,58,NULL
2418,0,10.220.1.12:8080,10,NULL
2018,0,10.31.113.8:8080,9,NULL
147.714285714,472.845480346,10.98.26.167:4444,259,NULL
156208,147960.74732887,10.98.27.19:4444,18,NULL
1401,0,10.98.27.66:4444,9,NULL
212195.947368421,3485.364726231,100.114.94.189:8443,19,NULL
4829,0,100.122.86.144,9,NULL
54580.14,57018.055255786,100.122.86.145,100,NULL
22412.265306122,62028.24286337,100yearsold.littlethings.com,392,NULL
94975.466666667,62567.01896793,10days.littlethings.com,30,NULL
89920.228571429,90714.442581583,10dogs.littlethings.com,35,NULL
107439.423728814,123338.043412544,10puppies.littlethings.com,59,NULL
11427.333333333,16117.521232084,127.0.0.1,15,NULL
89230.419871795,51714.353433034,127.0.0.1:4730,312,NULL
41546.777777778,27927.971289537,127.0.0.1:8080,36,NULL
1730,0,128.199.211.216,10,NULL
7072.693877551,16052.028730226,12guys.littlethings.com,490,NULL
115,0,12hours.littlethings.com,7,NULL
14967.13904062,42632.160378308,12ozprophet.com,10069,NULL
26725.413053083,64341.893716198,12thmanrising.com,79215,NULL
8797.700622366,27937.93362999,12up.com,1732581,NULL
17550.623843485,48464.014573025,1428elm.com,51880,NULL
18311.675324675,19790.462302719,16dogs.littlethings.com,154,NULL
33534.72972973,65381.259074607,170.20.56.222:9555,111,NULL
0,0,172.17.16.150:7080,10,NULL
47578.296610169,54471.300156664,172.21.65.30,118,NULL
822,0,179years.littlethings.com,10,NULL
4477,0,17months.littlethings.com,9,NULL
590.352941176,539.706047443,184.105.132.72:6910,17,NULL
59082.916666667,54523.669983114,1890.littlethings.com,24,NULL
1335,0,1912.littlethings.com,9,NULL
111,0,192.168.1.95,10,NULL
19,0,192.168.223.1:1000,8,NULL
31731.958224543,61664.500974065,1950s.littlethings.com,383,NULL
13608.309734513,29551.127882778,1950shouse.littlethings.com,113,NULL
107,0,1973.littlethings.com,8,NULL
3664.390243902,4049.243434755,20years.littlethings.com,41,NULL
2725.592261905,6917.583805444,247nfl.co,672,NULL
6281.626470198,26092.087940982,247sports.com,29191470,IAB17
2820.5,2180.324771934,247sportsdev.com,28,NULL
8478.98,5697.210977133,247sportsdev2.com,50,NULL
2283.607643312,3742.195315524,247sportsdev4.com,785,NULL
1552.263157895,950.034449088,247sportsdev5.com,209,NULL
5853.301136364,14581.239807906,247sportsdev6.com,1584,NULL
1733.628571429,674.358217153,247sportsstage.com,35,NULL
73,0,26rescuedogs.littlethings.com,7,NULL
1241,0,2dogs.littlethings.com,9,NULL
15250.216358839,53723.949130537,2doors.littlethings.com,379,NULL
1640.133333333,788.136240621,2dope.bz,150,NULL
13482.891553833,40875.760489834,2dopeboyz.com,1811295,NULL
938.259259259,958.889906423,2fhollywood.com,189,NULL
2990,2881.499609578,2kgam.es,15,NULL
8949.579439252,15440.119103348,2owls.littlethings.com,214,NULL
4616.058823529,3663.724274399,2seconds.littlethings.com,17,NULL
6330.913043478,6988.66555414,2soldiers.littlethings.com,69,NULL
1027.5,1008.685488002,2teaspoons.com,198,NULL
21047.543478261,11675.932424734,2yearold.littlethings.com,46,NULL
5686.827586207,4321.248051109,30579.s.t4vps.eu,29,NULL
1074,562.236136943,30years.littlethings.com,20,NULL
23161,0,35years.littlethings.com,15,NULL
685.973684211,815.753606161,365zazhi.com,76,NULL
