IN_WINDOW,PUBLISHER
376604,metrolyrics.com
95050,cbsnews.com
13808,firstforwomen.com
7781,totalprosports.com
16498,scarymommy.com
407792,knowyourmeme.com
49357,telemundo.com
21367,thehill.com
136857,gamespot.com
66562,gamefaqs.com
68708,cheezburger.com
95416,hollywoodreporter.com
139054,nameberry.com
32445,closerweekly.com
105286,businessinsider.com
490122,foodnetwork.com
16887,msnbc.com
41742,thedailybeast.com
7741,thespun.com
161144,chowhound.com
11096,fhm.com
94522,people.com
42666,womenshealthmag.com
36578,nbcnews.com
52287,cnbc.com
62720,nypost.com
29082,askmen.com
76068,usatoday.com
32297,j-14.com
27703,xxlmag.com
71715,hotnewhiphop.com
18375,littlethings.com
47354,lifeandstylemag.com
12943,womansworld.com
218841,m.eonline.com
43375,cbssports.com
16,google.com
101827,complex.com
81462,livestrong.com
33968,intouchweekly.com
17691,obsev.com
31764,etonline.com
507936,dailymail.co.uk
57209,cnn.com
377768,tvguide.com
38763,cbs.com
38560,menshealth.com
15647,countryliving.com
179987,food.com
31868,today.com
