OUT_WINDOW,PUBLISHER
349993,metrolyrics.com
81272,cbsnews.com
12377,firstforwomen.com
6174,totalprosports.com
10999,scarymommy.com
265456,knowyourmeme.com
41217,telemundo.com
15413,thehill.com
119788,gamespot.com
59500,gamefaqs.com
24940,cheezburger.com
86424,hollywoodreporter.com
122569,nameberry.com
30784,closerweekly.com
88823,businessinsider.com
8590,msnbc.com
262037,foodnetwork.com
33640,thedailybeast.com
6177,thespun.com
147371,chowhound.com
10181,fhm.com
72317,people.com
31749,womenshealthmag.com
33218,nbcnews.com
35968,cnbc.com
27628,askmen.com
52745,nypost.com
57563,usatoday.com
31290,j-14.com
25380,xxlmag.com
52452,hotnewhiphop.com
16304,littlethings.com
11906,womansworld.com
45662,lifeandstylemag.com
131745,m.eonline.com
26970,cbssports.com
8,google.com
90439,complex.com
81176,livestrong.com
31796,intouchweekly.com
14805,obsev.com
29795,etonline.com
50355,cnn.com
469852,dailymail.co.uk
273226,tvguide.com
30903,cbs.com
30411,menshealth.com
12914,countryliving.com
164964,food.com
29866,today.com
