RELEVANCY,HOST
171101,www.chowhound.com
5783,www.totalprosports.com
42279,www.cnbc.com
25603,www.closerweekly.com
76875,www.complex.com
279844,www.foodnetwork.com
28872,elitedaily.com
142387,nameberry.com
9242,www.fhm.com
17211,www.diynetwork.com
12250,www.cracked.com
95453,247sports.com
317259,www.food.com
50915,www.hgtv.com
491024,allrecipes.com
85425,people.com
493863,www.dailymail.co.uk
53666,www.gamespot.com
35832,www.nbcnews.com
32097,www.usatoday.com
62049,nypost.com
6972,www.scarymommy.com
9421,littlethings.com
59417,m.eonline.com
19954,www.womansworld.com
26318,www.cbssports.com
84294,www.livestrong.com
72281,www.littlethings.com
91344,www.cbsnews.com
32222,www.etonline.com
572225,www.maxpreps.com
66129,www.independent.co.uk
92354,www.cnn.com
157889,www.tvguide.com
49548,www.lifeandstylemag.com
25149,www.si.com
37403,www.today.com
673958,www.gamefaqs.com
61945,www.telemundo.com
9026,www.msnbc.com
7287,www.90min.com
307103,www.metrolyrics.com
32177,www.intouchweekly.com
30967,time.com
14012,www.firstforwomen.com
7426,www.eurosport.fr
6790,www.vladtv.com
23478,www.xxlmag.com
28673,www.thedailybeast.com
31689,www.askmen.com
