OUT_WINDOW,PUBLISHER
5645732,metrolyrics.com
10439720,firstforwomen.com
12400852,cbsnews.com
17886393,totalprosports.com
7548733,knowyourmeme.com
14789388,scarymommy.com
12410947,telemundo.com
3980614,thehill.com
5932886,gamespot.com
19523231,gamefaqs.com
4646705,cheezburger.com
1105638,hollywoodreporter.com
5669942,nameberry.com
4571667,closerweekly.com
2373239,businessinsider.com
3573651,msnbc.com
11085541,foodnetwork.com
23220226,thedailybeast.com
3436008,thespun.com
17884884,fhm.com
7110657,chowhound.com
13792036,people.com
3019460,womenshealthmag.com
7211398,cnbc.com
25101885,nbcnews.com
20518814,nypost.com
15610157,askmen.com
4332937,usatoday.com
3021158,j-14.com
9323683,xxlmag.com
48067740,littlethings.com
14261494,hotnewhiphop.com
45698453,lifeandstylemag.com
21237503,womansworld.com
18940898,m.eonline.com
2674845,cbssports.com
228603,google.com
3306086,complex.com
22032140,livestrong.com
49448371,intouchweekly.com
5462462,obsev.com
11921754,etonline.com
78678358,cnn.com
67434328,dailymail.co.uk
7674453,tvguide.com
3397898,cbs.com
4399925,menshealth.com
4967669,countryliving.com
5760573,food.com
21814483,today.com
